Trade Date,Underlying,Product Type,Exchange,Volume
2008/05/30,SPY,S,CBOE,143786
2008/06/02,SPY,S,CBOE,264698
2008/06/03,SPY,S,CBOE,382372
2008/06/04,SPY,S,CBOE,291636
2008/06/05,SPY,S,CBOE,306465
2008/06/06,SPY,S,CBOE,614312
2008/06/09,SPY,S,CBOE,442023
2008/06/10,SPY,S,CBOE,322789
2008/06/11,SPY,S,CBOE,448783
2008/06/12,SPY,S,CBOE,348251
2008/06/13,SPY,S,CBOE,326120
2008/06/16,SPY,S,CBOE,289661
2008/06/17,SPY,S,CBOE,197675
2008/06/18,SPY,S,CBOE,411779
2008/06/19,SPY,S,CBOE,522668
2008/06/20,SPY,S,CBOE,651950
2008/06/23,SPY,S,CBOE,211894
2008/06/24,SPY,S,CBOE,352139
2008/06/25,SPY,S,CBOE,275958
2008/06/26,SPY,S,CBOE,543855
2008/06/27,SPY,S,CBOE,454484
2008/06/30,SPY,S,CBOE,558017
2008/07/01,SPY,S,CBOE,485017
2008/07/02,SPY,S,CBOE,393391
2008/07/03,SPY,S,CBOE,358513
2008/07/07,SPY,S,CBOE,501841
2008/07/08,SPY,S,CBOE,520096
2008/07/09,SPY,S,CBOE,397585
2008/07/10,SPY,S,CBOE,497339
2008/07/11,SPY,S,CBOE,873221
2008/07/14,SPY,S,CBOE,419367
2008/07/15,SPY,S,CBOE,814934
2008/07/16,SPY,S,CBOE,547652
2008/07/17,SPY,S,CBOE,633152
2008/07/18,SPY,S,CBOE,343008
2008/07/21,SPY,S,CBOE,224930
2008/07/22,SPY,S,CBOE,313023
2008/07/23,SPY,S,CBOE,443285
2008/07/24,SPY,S,CBOE,405686
2008/07/25,SPY,S,CBOE,223044
2008/07/28,SPY,S,CBOE,308737
2008/07/29,SPY,S,CBOE,310730
2008/07/30,SPY,S,CBOE,400547
2008/07/31,SPY,S,CBOE,335768
2008/08/01,SPY,S,CBOE,312000
2008/08/04,SPY,S,CBOE,193843
2008/08/05,SPY,S,CBOE,243015
2008/08/06,SPY,S,CBOE,361173
2008/08/07,SPY,S,CBOE,259890
2008/08/08,SPY,S,CBOE,388932
2008/08/11,SPY,S,CBOE,414075
2008/08/12,SPY,S,CBOE,377287
2008/08/13,SPY,S,CBOE,396122
2008/08/14,SPY,S,CBOE,574444
2008/08/15,SPY,S,CBOE,385943
2008/08/18,SPY,S,CBOE,243712
2008/08/19,SPY,S,CBOE,239734
2008/08/20,SPY,S,CBOE,241201
2008/08/21,SPY,S,CBOE,225341
2008/08/22,SPY,S,CBOE,198774
2008/08/25,SPY,S,CBOE,248355
2008/08/26,SPY,S,CBOE,217966
2008/08/27,SPY,S,CBOE,242446
2008/08/28,SPY,S,CBOE,195662
2008/08/29,SPY,S,CBOE,237258
2008/09/02,SPY,S,CBOE,259062
2008/09/03,SPY,S,CBOE,388207
2008/09/04,SPY,S,CBOE,452968
2008/09/05,SPY,S,CBOE,430132
2008/09/08,SPY,S,CBOE,487778
2008/09/09,SPY,S,CBOE,559046
2008/09/10,SPY,S,CBOE,346509
2008/09/11,SPY,S,CBOE,535979
2008/09/12,SPY,S,CBOE,452291
2008/09/15,SPY,S,CBOE,749856
2008/09/16,SPY,S,CBOE,1003262
2008/09/17,SPY,S,CBOE,1179151
2008/09/18,SPY,S,CBOE,1091176
2008/09/19,SPY,S,CBOE,799881
2008/09/22,SPY,S,CBOE,277638
2008/09/23,SPY,S,CBOE,370673
2008/09/24,SPY,S,CBOE,499716
2008/09/25,SPY,S,CBOE,369415
2008/09/26,SPY,S,CBOE,321031
2008/09/29,SPY,S,CBOE,731899
2008/09/30,SPY,S,CBOE,398282
2008/10/01,SPY,S,CBOE,270517
2008/10/02,SPY,S,CBOE,477235
2008/10/03,SPY,S,CBOE,587799
2008/10/06,SPY,S,CBOE,936046
2008/10/07,SPY,S,CBOE,890918
2008/10/08,SPY,S,CBOE,690810
2008/10/09,SPY,S,CBOE,698737
2008/10/10,SPY,S,CBOE,1067752
2008/10/13,SPY,S,CBOE,485662
2008/10/14,SPY,S,CBOE,615880
2008/10/15,SPY,S,CBOE,645074
2008/10/16,SPY,S,CBOE,836975
2008/10/17,SPY,S,CBOE,541963
2008/10/20,SPY,S,CBOE,294132
2008/10/21,SPY,S,CBOE,318216
2008/10/22,SPY,S,CBOE,646628
2008/10/23,SPY,S,CBOE,687962
2008/10/24,SPY,S,CBOE,573638
2008/10/27,SPY,S,CBOE,529281
2008/10/28,SPY,S,CBOE,375228
2008/10/29,SPY,S,CBOE,403083
2008/10/30,SPY,S,CBOE,179086
2008/10/31,SPY,S,CBOE,282918
2008/11/03,SPY,S,CBOE,232390
2008/11/04,SPY,S,CBOE,432604
2008/11/05,SPY,S,CBOE,379168
2008/11/06,SPY,S,CBOE,456993
2008/11/07,SPY,S,CBOE,268794
2008/11/10,SPY,S,CBOE,238577
2008/11/11,SPY,S,CBOE,419489
2008/11/12,SPY,S,CBOE,510121
2008/11/13,SPY,S,CBOE,677990
2008/11/14,SPY,S,CBOE,489019
2008/11/17,SPY,S,CBOE,430595
2008/11/18,SPY,S,CBOE,457452
2008/11/19,SPY,S,CBOE,687248
2008/11/20,SPY,S,CBOE,847096
2008/11/21,SPY,S,CBOE,845639
2008/11/24,SPY,S,CBOE,499019
2008/11/25,SPY,S,CBOE,251530
2008/11/26,SPY,S,CBOE,407268
2008/11/28,SPY,S,CBOE,100728
2008/12/01,SPY,S,CBOE,360632
2008/12/02,SPY,S,CBOE,315346
2008/12/03,SPY,S,CBOE,459535
2008/12/04,SPY,S,CBOE,315124
2008/12/05,SPY,S,CBOE,419109
2008/12/08,SPY,S,CBOE,423374
2008/12/09,SPY,S,CBOE,454235
2008/12/10,SPY,S,CBOE,287805
2008/12/11,SPY,S,CBOE,426990
2008/12/12,SPY,S,CBOE,275945
2008/12/15,SPY,S,CBOE,326418
2008/12/16,SPY,S,CBOE,421567
2008/12/17,SPY,S,CBOE,372997
2008/12/18,SPY,S,CBOE,531618
2008/12/19,SPY,S,CBOE,343236
2008/12/22,SPY,S,CBOE,182346
2008/12/23,SPY,S,CBOE,179478
2008/12/24,SPY,S,CBOE,66758
2008/12/26,SPY,S,CBOE,58066
2008/12/29,SPY,S,CBOE,221240
2008/12/30,SPY,S,CBOE,155048
2008/12/31,SPY,S,CBOE,204062
2009/01/02,SPY,S,CBOE,400806
2009/01/05,SPY,S,CBOE,267480
2009/01/06,SPY,S,CBOE,364910
2009/01/07,SPY,S,CBOE,314526
2009/01/08,SPY,S,CBOE,217301
2009/01/09,SPY,S,CBOE,254167
2009/01/12,SPY,S,CBOE,309830
2009/01/13,SPY,S,CBOE,254611
2009/01/14,SPY,S,CBOE,608368
2009/01/15,SPY,S,CBOE,455114
2009/01/16,SPY,S,CBOE,464964
2009/01/20,SPY,S,CBOE,240006
2009/01/21,SPY,S,CBOE,259278
2009/01/22,SPY,S,CBOE,235310
2009/01/23,SPY,S,CBOE,225049
2009/01/26,SPY,S,CBOE,226118
2009/01/27,SPY,S,CBOE,143355
2009/01/28,SPY,S,CBOE,297795
2009/01/29,SPY,S,CBOE,182346
2009/01/30,SPY,S,CBOE,304971
2009/02/02,SPY,S,CBOE,174909
2009/02/03,SPY,S,CBOE,189711
2009/02/04,SPY,S,CBOE,190424
2009/02/05,SPY,S,CBOE,223194
2009/02/06,SPY,S,CBOE,461630
2009/02/09,SPY,S,CBOE,211864
2009/02/10,SPY,S,CBOE,370201
2009/02/11,SPY,S,CBOE,186277
2009/02/12,SPY,S,CBOE,324864
2009/02/13,SPY,S,CBOE,242715
2009/02/17,SPY,S,CBOE,384599
2009/02/18,SPY,S,CBOE,333551
2009/02/19,SPY,S,CBOE,404292
2009/02/20,SPY,S,CBOE,519477
2009/02/23,SPY,S,CBOE,265207
2009/02/24,SPY,S,CBOE,300770
2009/02/25,SPY,S,CBOE,440648
2009/02/26,SPY,S,CBOE,254779
2009/02/27,SPY,S,CBOE,376044
2009/03/02,SPY,S,CBOE,485410
2009/03/03,SPY,S,CBOE,571276
2009/03/04,SPY,S,CBOE,372131
2009/03/05,SPY,S,CBOE,717330
2009/03/06,SPY,S,CBOE,545656
2009/03/09,SPY,S,CBOE,617188
2009/03/10,SPY,S,CBOE,416708
2009/03/11,SPY,S,CBOE,365415
2009/03/12,SPY,S,CBOE,494664
2009/03/13,SPY,S,CBOE,348120
2009/03/16,SPY,S,CBOE,463141
2009/03/17,SPY,S,CBOE,447267
2009/03/18,SPY,S,CBOE,606513
2009/03/19,SPY,S,CBOE,649172
2009/03/20,SPY,S,CBOE,456331
2009/03/23,SPY,S,CBOE,433425
2009/03/24,SPY,S,CBOE,331375
2009/03/25,SPY,S,CBOE,400137
2009/03/26,SPY,S,CBOE,378065
2009/03/27,SPY,S,CBOE,205558
2009/03/30,SPY,S,CBOE,242697
2009/03/31,SPY,S,CBOE,239354
2009/04/01,SPY,S,CBOE,221553
2009/04/02,SPY,S,CBOE,479169
2009/04/03,SPY,S,CBOE,295788
2009/04/06,SPY,S,CBOE,150522
2009/04/07,SPY,S,CBOE,309896
2009/04/08,SPY,S,CBOE,255975
2009/04/09,SPY,S,CBOE,327460
2009/04/13,SPY,S,CBOE,271448
2009/04/14,SPY,S,CBOE,274468
2009/04/15,SPY,S,CBOE,242140
2009/04/16,SPY,S,CBOE,331253
2009/04/17,SPY,S,CBOE,368273
2009/04/20,SPY,S,CBOE,278503
2009/04/21,SPY,S,CBOE,358892
2009/04/22,SPY,S,CBOE,288436
2009/04/23,SPY,S,CBOE,192168
2009/04/24,SPY,S,CBOE,283139
2009/04/27,SPY,S,CBOE,253173
2009/04/28,SPY,S,CBOE,200372
2009/04/29,SPY,S,CBOE,211081
2009/04/30,SPY,S,CBOE,357920
2009/05/01,SPY,S,CBOE,279074
2009/05/04,SPY,S,CBOE,334428
2009/05/05,SPY,S,CBOE,350576
2009/05/06,SPY,S,CBOE,497600
2009/05/07,SPY,S,CBOE,495157
2009/05/08,SPY,S,CBOE,628868
2009/05/11,SPY,S,CBOE,427431
2009/05/12,SPY,S,CBOE,429572
2009/05/13,SPY,S,CBOE,549379
2009/05/14,SPY,S,CBOE,287893
2009/05/15,SPY,S,CBOE,463742
2009/05/18,SPY,S,CBOE,283248
2009/05/19,SPY,S,CBOE,242579
2009/05/20,SPY,S,CBOE,446322
2009/05/21,SPY,S,CBOE,393238
2009/05/22,SPY,S,CBOE,231155
2009/05/26,SPY,S,CBOE,292877
2009/05/27,SPY,S,CBOE,304161
2009/05/28,SPY,S,CBOE,267341
2009/05/29,SPY,S,CBOE,233401
2009/06/01,SPY,S,CBOE,402465
2009/06/02,SPY,S,CBOE,329403
2009/06/03,SPY,S,CBOE,223262
2009/06/04,SPY,S,CBOE,226863
2009/06/05,SPY,S,CBOE,427155
2009/06/08,SPY,S,CBOE,217880
2009/06/09,SPY,S,CBOE,198102
2009/06/10,SPY,S,CBOE,243284
2009/06/11,SPY,S,CBOE,338591
2009/06/12,SPY,S,CBOE,270114
2009/06/15,SPY,S,CBOE,383378
2009/06/16,SPY,S,CBOE,374978
2009/06/17,SPY,S,CBOE,429342
2009/06/18,SPY,S,CBOE,465727
2009/06/19,SPY,S,CBOE,426342
2009/06/22,SPY,S,CBOE,299595
2009/06/23,SPY,S,CBOE,234667
2009/06/24,SPY,S,CBOE,273006
2009/06/25,SPY,S,CBOE,300205
2009/06/26,SPY,S,CBOE,204221
2009/06/29,SPY,S,CBOE,202931
2009/06/30,SPY,S,CBOE,341012
2009/07/01,SPY,S,CBOE,272927
2009/07/02,SPY,S,CBOE,331794
2009/07/06,SPY,S,CBOE,317477
2009/07/07,SPY,S,CBOE,318571
2009/07/08,SPY,S,CBOE,591548
2009/07/09,SPY,S,CBOE,408567
2009/07/10,SPY,S,CBOE,301896
2009/07/13,SPY,S,CBOE,495172
2009/07/14,SPY,S,CBOE,476992
2009/07/15,SPY,S,CBOE,575524
2009/07/16,SPY,S,CBOE,462780
2009/07/17,SPY,S,CBOE,389635
2009/07/20,SPY,S,CBOE,227843
2009/07/21,SPY,S,CBOE,210211
2009/07/22,SPY,S,CBOE,249212
2009/07/23,SPY,S,CBOE,472339
2009/07/24,SPY,S,CBOE,248812
2009/07/27,SPY,S,CBOE,237599
2009/07/28,SPY,S,CBOE,288668
2009/07/29,SPY,S,CBOE,268738
2009/07/30,SPY,S,CBOE,400166
2009/07/31,SPY,S,CBOE,297469
2009/08/03,SPY,S,CBOE,346638
2009/08/04,SPY,S,CBOE,373474
2009/08/05,SPY,S,CBOE,271459
2009/08/06,SPY,S,CBOE,332599
2009/08/07,SPY,S,CBOE,573478
2009/08/10,SPY,S,CBOE,223060
2009/08/11,SPY,S,CBOE,243759
2009/08/12,SPY,S,CBOE,413133
2009/08/13,SPY,S,CBOE,453448
2009/08/14,SPY,S,CBOE,375823
2009/08/17,SPY,S,CBOE,493523
2009/08/18,SPY,S,CBOE,368182
2009/08/19,SPY,S,CBOE,458208
2009/08/20,SPY,S,CBOE,417403
